,가게명,nickname,content,date,visit
35,정릉동 가장맛있는족발(정릉점),스위리맘,족발이 부드러워 아이들도 잘 먹어요!무엇보다 냄새가 안나서 저도 맛있게 먹었습니다.온가족이 한 메뉴로 먹기 오랜만였어요:)저희는 집이 가까워 포장해옵니다.,23.2.7.화,1번째 방문
36,정릉동 가장맛있는족발(정릉점),와니하니,오랜만에 가족에서 족보세트!  맛있기 먹었습니다.,23.1.24.화,1번째 방문
37,정릉동 가장맛있는족발(정릉점),wndus514,맛있어요,23.1.2.월,1번째 방문
38,정릉동 가장맛있는족발(정릉점),suyudonglee30,좋아요,22.12.21.수,3번째 방문
39,정릉동 가장맛있는족발(정릉점),cjh****,족발이 부드럽고 잡내도 없이 맛있었어요,22.11.24.목,1번째 방문
40,정릉동 가장맛있는족발(정릉점),suki3317949,다른지점보다 맛있어서 자주포장해와요,22.11.2.수,2번째 방문
41,정릉동 가장맛있는족발(정릉점),hye****,맛있어요,22.10.20.목,1번째 방문
42,정릉동 가장맛있는족발(정릉점),바다6345,동생이 젤 좋아하는 맛,22.9.24.토,2번째 방문
43,정릉동 가장맛있는족발(정릉점),찌비2000,굿,22.9.17.토,1번째 방문
44,정릉동 가장맛있는족발(정릉점),euneee,맛있어요 친절하지는 않아요,22.9.9.금,1번째 방문
45,정릉동 가장맛있는족발(정릉점),Riz213,굿,22.9.5.월,1번째 방문
46,정릉동 가장맛있는족발(정릉점),경자홀릭,굿,22.9.4.일,1번째 방문
47,정릉동 가장맛있는족발(정릉점),m98****,굿,22.9.2.금,1번째 방문
48,정릉동 가장맛있는족발(정릉점),toppopcorn,가끔 시켜먹어요,22.8.2.화,1번째 방문
49,정릉동 가장맛있는족발(정릉점),겐죠46,^^,22.7.26.화,1번째 방문
50,정릉동 가장맛있는족발(정릉점),예쁜이36,ㅇ,22.7.26.화,1번째 방문
51,정릉동 가장맛있는족발(정릉점),대찬인생33,굿,22.7.26.화,2번째 방문
52,정릉동 가장맛있는족발(정릉점),대찬인생33,굿,22.7.26.화,1번째 방문
53,정릉동 가장맛있는족발(정릉점),nas****,맛있어요,22.7.3.일,1번째 방문
54,정릉동 가장맛있는족발(정릉점),mic****,깔끔하고 조용해서 좋습니다,22.7.3.일,1번째 방문
55,정릉동 가장맛있는족발(정릉점),하이루호이루,고기퍽퍽해여,22.7.1.금,1번째 방문
56,정릉동 가장맛있는족발(정릉점),ibbniw,굿,22.6.30.목,1번째 방문
57,정릉동 가장맛있는족발(정릉점),방역지대,맛은 그럭저럭,22.6.13.월,1번째 방문
58,정릉동 가장맛있는족발(정릉점),바보4224,2인분같은1인분,22.6.13.월,2번째 방문
59,정릉동 가장맛있는족발(정릉점),mac****,동네맛집,22.6.13.월,2번째 방문
60,정릉동 237플랫폼카페,황금들녘78,정릉천 걷다가 식사후 방문했는데 카페가 꽤 넓으면서 멋지게 꾸며져 있네요.카페 외부에 아이들이 놀수 있는 시설을 만들어놓은 것도 인상깊었고 좌석 사이 공간이 넓이 쾌적하게 머물다 갈수 있게 만들어둔 것도 좋았습니다.음료를 종류별로 주문해봤는데 쌍화차를 시작으로 여러 음료들 비주얼도 좋네요.지인들과 차한잔 하면서 편안한 시간 보내다 갑니다.,1.18.토,1번째 방문
61,정릉동 237플랫폼카페,거북이6229,,1.18.토,1번째 방문
62,정릉동 237플랫폼카페,00000071652,쌍화탕 끝내주네요!!,24.12.31.화,1번째 방문
63,정릉동 237플랫폼카페,WS2014,아이스 녹차 그윽하고 은은해서 좋아요.,24.12.30.월,53번째 방문
64,정릉동 237플랫폼카페,어쩌라구,사진은 다른집커피구요. 식사후 가까워서여기 종종가는데 오늘은 커피도 브레드도 다 최악이었네요.분발좀 하셔아겠어요. 가격도사악한데.,24.12.4.수,4번째 방문
65,정릉동 237플랫폼카페,토끼4114,대추차가 진하고 맛있어요,24.11.27.수,4번째 방문
66,정릉동 237플랫폼카페,어쩌라구,,24.11.10.일,3번째 방문
67,정릉동 237플랫폼카페,토끼4114,대추차가 진하고 맛있어요,24.11.8.금,3번째 방문
68,정릉동 237플랫폼카페,토끼4114,날씨가 추워지니 대추차가 좋네요,24.11.6.수,2번째 방문
69,정릉동 237플랫폼카페,sweet84,사진이 없네요ㅋㅋ커피맛은 그냥저냥...ㅎㅎ추울때 들어간거라... 가성비 괜찮았어요ㅎ,24.10.31.목,1번째 방문
70,정릉동 237플랫폼카페,어쩌라구,,24.10.28.월,2번째 방문
71,정릉동 237플랫폼카페,EVERMUSICA,커피맛있어요,24.10.3.목,3번째 방문
72,정릉동 237플랫폼카페,어쩌라구,커피가 맛나요,24.10.2.수,1번째 방문
73,정릉동 237플랫폼카페,EVERMUSICA,빙수맛있어요,24.9.27.금,2번째 방문
74,정릉동 237플랫폼카페,토끼4114,인형과 선인장들이 아기자기하게 많은 카페다적립도 해주고 커피도 맛있다,24.7.24.수,1번째 방문
75,정릉동 237플랫폼카페,sun****,굿,24.6.30.일,1번째 방문
76,정릉동 237플랫폼카페,안녕하쎼유,아이스티 샷추가했어여 맛있어여 굿굿,24.6.12.수,1번째 방문
77,정릉동 237플랫폼카페,다른사용자가이미사용하고있는닉네임이에요,"아침에 일찍 와서 밖에 앉아있으니 좋았어요. 이른 시간이라 사람 없어 조용하고 좋았는데 피크 때는 어떨지 모르겠네요. 야외좌석에 앉아서 정릉천 보고, 사람들 지나가는 거 구경하고, 앉아있기 좋아요. 커피가 특별히 맛있진 않았지만 나쁘지도 않아요.",24.6.8.토,1번째 방문
78,정릉동 237플랫폼카페,마요린,"가끔 지인들과 방문하는 곳, 빙수와 망고요거트, 카페라떼 모두 맛있답니다. 정성들여 가꾸는 다육식물도 보기 좋아요. 해질녘 정릉천가 상가들과 어우러지는 분위기도 👍 👍 👍",24.6.7.금,1번째 방문
79,정릉동 237플랫폼카페,bbossong,딸기요거트스무디 맛있어요!,24.6.4.화,1번째 방문
80,정릉동 237플랫폼카페,임정희69,친절짱,24.6.1.토,1번째 방문
81,정릉동 237플랫폼카페,꿈 속에라도,,24.4.24.수,1번째 방문
82,정릉동 237플랫폼카페,민주최,처음가봤는데 매장도 넓고 인테리어도 너무 예쁘고 좋아요!애기들 노는데도 있어서 애기들 오기도 좋을 거 같이 생겼고안에 폴딩도어로 닫혀있는 룸도 있어서 약간 분리된 느낌도 좋더라구요! 화장실도 그럭저럭 괜찮았어요.음료도 맛있어요!,24.3.31.일,1번째 방문
83,정릉동 237플랫폼카페,남스타와박여신74,정릉시장에서 여유잇게 커피마시기에딱이에요서울놀러와서 처음온카페인데 너무 맘에 들어요!커피맛도 좋아서 캬 🥰🥰🥰,24.3.24.일,1번째 방문
84,정릉동 237플랫폼카페,WS2014,리얼 쇼콜라 타르트 아주 달콤하고 맛있어요.,24.3.12.화,51번째 방문
85,정릉동 237플랫폼카페,smail26,청년문간 옆 까페.정릉시장의 분위기^^~ 편하고 노력한 흔적이 보이는 순수 카페  .,24.2.21.수,1번째 방문
86,정릉동 237플랫폼카페,lisukjin98,매장이 넓어서 편해요,24.2.14.수,1번째 방문
87,정릉동 237플랫폼카페,WS2014,아이스 복숭아티 시원하고 달고 맛있습니다.,24.2.13.화,50번째 방문
88,정릉동 237플랫폼카페,WS2014,아이스 루이보스 차 참 향긋하고 시원해요.,24.2.4.일,49번째 방문
89,정릉동 237플랫폼카페,jyhlily,굿,24.1.10.수,1번째 방문
90,정릉동 237플랫폼카페,WS2014,허니브레드 맛있어요.,24.1.6.토,48번째 방문
91,정릉동 237플랫폼카페,JSMOM,좋아요,23.12.9.토,1번째 방문
92,정릉동 237플랫폼카페,어나단,매장이 넓고 좌석이 많아서 좋아요,23.10.20.금,1번째 방문
93,정릉동 237플랫폼카페,wndus514,좋아요,23.10.13.금,2번째 방문
94,정릉동 237플랫폼카페,WS2014,다양한 종류의 젤라또를 판매해서 참 좋네요.,23.10.1.일,47번째 방문
95,정릉동 237플랫폼카페,allesgute123,커피가 맛있어요. 간만에 허니브레드도 먹었는데 맛있었네요 ㅎㅎ,23.9.29.금,1번째 방문
96,정릉동 237플랫폼카페,kkh****,굿,23.9.9.토,2번째 방문
97,정릉동 237플랫폼카페,천재6422,"존맛탱, 편안한 공간",23.9.1.금,3번째 방문
98,정릉동 237플랫폼카페,eh5797280,빙수가 맛있어요^^,23.8.6.일,1번째 방문
99,정릉동 237플랫폼카페,ksy****,,23.8.6.일,1번째 방문
100,정릉동 237플랫폼카페,진단평가사1급,정릉시장 커피숍 정릉천 커피숍 맛나요,23.7.15.토,1번째 방문
101,정릉동 237플랫폼카페,고잉홈,쇼파 쿠션이 넘 지저분했어요 ㅠㅠ음료는 무난한듯,23.7.13.목,1번째 방문
102,정릉동 237플랫폼카페,진답,굿,23.7.1.토,2번째 방문
103,정릉동 237플랫폼카페,WS2014,아이스 페퍼민트 차 참 향긋하고 풍미가 맑아서 맛납니다. 마시면 마실수록 입을 개운하게 만들어주어서 너무 좋습니다. 추천합니다.,23.6.11.일,46번째 방문
104,정릉동 237플랫폼카페,WS2014,아이스 아삼 홍차 참 맛있습니다. 향긋하면서도 깊은 맛이 우러나와서 마실수록 입안을 촉촉하게 적셔줍니다. 티백을 따로 담을 수 있는 작은 그릇이 함께 나오는 것도 센스 만점 서비스입니다. 추천합니다.,23.5.31.수,45번째 방문
105,정릉동 237플랫폼카페,아메리카노8477,날이 넘 더워서 방문빙수 맛나요~,23.5.29.월,1번째 방문
106,정릉동 237플랫폼카페,은미3874,좋아요,23.5.24.수,1번째 방문
107,정릉동 237플랫폼카페,WS2014,특대 사이즈 빙수 개시했습니다. 모든 분들께 추천합니다.,23.5.21.일,44번째 방문
108,정릉동 237플랫폼카페,HS6360,음료 무난무난,23.5.20.토,1번째 방문
109,정릉동 237플랫폼카페,WS2014,카페 사장님께서 정성스럽게 직접 만드신 수제청을 판매해서 참 좋습니다. 추천합니다.,23.5.14.일,43번째 방문
110,정릉동 237플랫폼카페,북한산5,맛있어요,23.5.7.일,1번째 방문
111,정릉동 237플랫폼카페,ull****,공간이 넓어 좋아요,23.5.4.목,2번째 방문
112,정릉동 237플랫폼카페,WS2014,수분을 내면에 가득 머금은 다육식물 덕분에 촉촉한 생명력이 느껴져서 좋습니다. 추천합니다.,23.4.25.화,42번째 방문
113,정릉동 237플랫폼카페,DYmom37,카푸치노 맛있네요..커피 산미 있어요~,23.4.20.목,1번째 방문
114,정릉동 237플랫폼카페,WS2014,늘 잘 이용하는 카페입니다. 강력 추천합니다.,23.4.15.토,41번째 방문
115,정릉동 237플랫폼카페,ull****,커피가 맛있어요,23.4.10.월,1번째 방문
116,정릉동 237플랫폼카페,엘실66,,23.4.4.화,1번째 방문
117,정릉동 237플랫폼카페,팔타,좋아요,23.4.2.일,9번째 방문
118,정릉동 237플랫폼카페,블루싸이코,굿,23.3.31.금,2번째 방문
119,정릉동 237플랫폼카페,rin****,^^,23.3.30.목,1번째 방문
120,정릉동 60계치킨 서울정릉점,hap****,고추닭봉 굿,24.8.25.일,9번째 방문
121,정릉동 60계치킨 서울정릉점,자모자,크크크 맛있어요,24.7.25.목,1번째 방문
122,정릉동 60계치킨 서울정릉점,소나기비67,"전화로 크크크 포장주문했는데, 늘 맛있고 친절해서 좋아요.",24.7.14.일,2번째 방문
123,정릉동 60계치킨 서울정릉점,소나기비67,크크크 순살 포장하러 갔는데 직원분인지 사장님인지 모르지만 너무너무 친절하셨구요. 치킨도 맛있게 먹었습니다! 사진은 먹다 찍어서 치킨이 적어 보여요^^,24.6.24.월,1번째 방문
124,정릉동 60계치킨 서울정릉점,soe****,굿,24.3.5.화,1번째 방문
125,정릉동 60계치킨 서울정릉점,양배 츄,가족끼리 먹었어요!,24.2.10.토,1번째 방문
126,정릉동 60계치킨 서울정릉점,팡팡1098,크크크,24.1.25.목,2번째 방문
127,정릉동 60계치킨 서울정릉점,화이팅 쭈,다른지점보다 양도 많고 잘튀겨주세요주마다 시켜먹는데 신랑이 질리지않는다고 해요,24.1.20.토,2번째 방문
128,정릉동 60계치킨 서울정릉점,팡팡1098,크크크 맛있어요~ 포장할인 1000원,24.1.8.월,1번째 방문
129,정릉동 60계치킨 서울정릉점,hap****,굿,23.12.30.토,8번째 방문
130,정릉동 60계치킨 서울정릉점,mal****,60계 크크크 맛있어요.,23.12.22.금,1번째 방문
131,정릉동 60계치킨 서울정릉점,엉뚱이7,바삭한 크크크 치킨~콘마요 소스 맛있어요~~!!,23.12.8.금,1번째 방문
132,정릉동 60계치킨 서울정릉점,hao****,맛있어요.,23.12.6.수,1번째 방문
133,정릉동 60계치킨 서울정릉점,fpvocalist,굳,23.12.4.월,2번째 방문
134,정릉동 60계치킨 서울정릉점,axyz,굿,23.12.3.일,2번째 방문
135,정릉동 60계치킨 서울정릉점,son son,좋아요,23.12.3.일,1번째 방문
136,정릉동 60계치킨 서울정릉점,화이팅 쭈,닭다리만 좋아해서 1/2컷팅으로 2인분 주문하는데 요청사항도 잘들어주시고 맛나요,23.11.22.수,1번째 방문
137,정릉동 60계치킨 서울정릉점,원더우먼738,맛있어요,23.11.17.금,2번째 방문
138,정릉동 60계치킨 서울정릉점,gkd****,굿,23.10.24.화,36번째 방문
139,정릉동 60계치킨 서울정릉점,a165,스트레스 받을때마다 시켜먹는 치킨..꼭 미니쫀득볼 추가해서 드세욤,23.10.11.수,1번째 방문
140,정릉동 60계치킨 서울정릉점,에이프릴67,순살 크크크치킨 맛있어요!염지도 안 매워서 아이도 잘 먹어요^^소스도 맛있어요,23.9.24.일,1번째 방문
141,정릉동 60계치킨 서울정릉점,kmj****,좋아요,23.8.27.일,1번째 방문
142,정릉동 60계치킨 서울정릉점,hap****,굿,23.8.19.토,7번째 방문
143,정릉동 60계치킨 서울정릉점,러브아미,치킨맛있어요,23.7.10.월,1번째 방문
144,정릉동 60계치킨 서울정릉점,미갱41,맛있어요,23.7.8.토,1번째 방문
145,정릉동 60계치킨 서울정릉점,kh9****,좋아요,23.6.30.금,2번째 방문
146,정릉동 60계치킨 서울정릉점,어나단,맨날 간지치킨만먹다 크크크먹어봤는데진짜맛있어요,23.6.25.일,2번째 방문
147,정릉동 60계치킨 서울정릉점,먹학개론,신선합니다 !,23.6.17.토,1번째 방문
148,정릉동 60계치킨 서울정릉점,yeo****,ㅋㅋㅋ치킨 바삭하고 맛있어요.그런데 저는 목을 찾을수가 없네요.사장님 다음엔 꼭 목 챙겨주세요~,23.6.9.금,2번째 방문
149,정릉동 60계치킨 서울정릉점,승희나무,포장할인 좋아요감자양이 적어서 다음에는추가해서 먹어야 될거같아요간지치킨 맛나요감자는 더 맛있었어요~~^^,23.5.28.일,1번째 방문
150,정릉동 60계치킨 서울정릉점,msb****,..,23.5.27.토,5번째 방문
151,정릉동 60계치킨 서울정릉점,freshly8386,맛있어요,23.5.16.화,1번째 방문
152,정릉동 60계치킨 서울정릉점,hap****,굿,23.5.13.토,6번째 방문
153,정릉동 60계치킨 서울정릉점,뚜루19,굿,23.5.9.화,2번째 방문
154,정릉동 60계치킨 서울정릉점,뚜루19,굿,23.3.24.금,1번째 방문
155,정릉동 60계치킨 서울정릉점,kh9****,아이들이 너무 맛있게 먹었어요,23.3.18.토,1번째 방문
156,정릉동 60계치킨 서울정릉점,axyz,굿,23.3.14.화,1번째 방문
157,정릉동 60계치킨 서울정릉점,dn****,옛날 치킨같은 느낌으로 맛나게 잘먹었습니다~^^,23.3.12.일,2번째 방문
158,정릉동 60계치킨 서울정릉점,bad****,호랑이치킨 맛있어요,23.1.20.금,14번째 방문
159,정릉동 60계치킨 서울정릉점,wndus514,맛,23.1.4.수,1번째 방문
160,정릉동 60계치킨 서울정릉점,뭐다냐35,크크크 치킨 맛있어요,22.12.23.금,1번째 방문
161,정릉동 60계치킨 서울정릉점,yeo****,ㅋㅋㅋ 치킨 궁금해서 먹어 봤어요.비싼데 양도 많고 바삭바삭 씹는 맛이 좋으며고소함이 맛을 더하네요,22.12.13.화,1번째 방문
162,정릉동 60계치킨 서울정릉점,jan****,ㅈㆍㅎ아요,22.11.24.목,1번째 방문
163,정릉동 60계치킨 서울정릉점,heekyum73,직원이 친절해요~ 맛도 좋아요,22.11.22.화,5번째 방문
164,정릉동 60계치킨 서울정릉점,rkr****,치킨 맛있어요,22.11.12.토,2번째 방문
165,정릉동 60계치킨 서울정릉점,hap****,굿,22.11.10.목,4번째 방문
166,정릉동 60계치킨 서울정릉점,hap****,굿,22.10.25.화,3번째 방문
167,정릉동 60계치킨 서울정릉점,bad****,호랑이 치킨 맛있어요,22.10.11.화,13번째 방문
168,정릉동 60계치킨 서울정릉점,moon1174,맛있어요,22.10.9.일,1번째 방문
169,정릉동 60계치킨 서울정릉점,zea****,양념소스를 너무 많이 넣으셔서 많이 짰습니다,22.9.27.화,2번째 방문
170,정릉동 60계치킨 서울정릉점,ewo****,굿,22.9.19.월,1번째 방문
171,정릉동 60계치킨 서울정릉점,ka****,굿,22.9.19.월,1번째 방문
172,정릉동 60계치킨 서울정릉점,sim****,굿,22.9.19.월,1번째 방문
173,정릉동 60계치킨 서울정릉점,hap****,굿,22.8.21.일,2번째 방문
174,정릉동 60계치킨 서울정릉점,lee****,굿,22.8.16.화,2번째 방문
175,정릉동 60계치킨 서울정릉점,cob****,굳,22.8.15.월,1번째 방문
176,정릉동 60계치킨 서울정릉점,lee****,굿,22.8.14.일,1번째 방문
177,정릉동 60계치킨 서울정릉점,oho****,굿,22.8.6.토,1번째 방문
178,정릉동 60계치킨 서울정릉점,bad****,맛있어요,22.8.3.수,12번째 방문
179,정릉동 60계치킨 서울정릉점,여름보다 겨울32,포장해와서 할인받았어요잘먹었습니다,22.7.29.금,1번째 방문
180,정릉동 SELF 장어세상,HoHoHo17,맛있어요~~^^,3.27.목,5번째 방문
181,정릉동 SELF 장어세상,고잉홈,맛있는 장어~~ 넘 맛있어여오늘은 멸치국수도 짱맛!,3.24.월,4번째 방문
182,정릉동 SELF 장어세상,ilw****,조아요,3.23.일,8번째 방문
183,정릉동 SELF 장어세상,은은이다,장어 먹으러 종종 오는데 맛있어요!!👍🏻👍🏻항상 사람이 많아 웨이팅하다가 들어왔는데 오늘은 평소보다 일찍오니(17:30정도!)사람도 많이 없어 좋네요~~!!친절히 다 구워주셔서 편하게 먹을 수 있어좋습니다!!💓,3.22.토,1번째 방문
184,정릉동 SELF 장어세상,kjy****,장어 너무 맛있고 가격도 합리적입니다! 정릉까지 힘들게 옵니다,3.21.금,1번째 방문
185,정릉동 SELF 장어세상,kim****,맛있어요,3.19.수,1번째 방문
186,정릉동 SELF 장어세상,cmk****,넓은 매장에서 고기도 직접 구워주셔서 편하게 먹을 수 있어요!! 정말 맛있어요^^,3.17.월,1번째 방문
187,정릉동 SELF 장어세상,성북구장사꾼,장어랑 꼼장어랑 신선하고 맛있어요 !!장어도 맛있게 구워주셔서 편하게 먹었습니다 !다음에 또 올께요~,3.16.일,1번째 방문
188,정릉동 SELF 장어세상,다즐제이,아이랑 가기 좋고 동네 맛집이에요 :)가성비 좋아요 ! 꼼장어 2인분 추가 필수,3.15.토,1번째 방문
189,정릉동 SELF 장어세상,올리브쥬쥬,셋이서 5인분 먹엇어요. 가성비 좋고 장어도 맛잇습니다. 강추. 주차하기도 편해요.,3.15.토,1번째 방문
190,정릉동 SELF 장어세상,lac****,너무 맛있게 잘먹었습니다🤗👍,3.15.토,1번째 방문
191,정릉동 SELF 장어세상,ses****,맛있고 장어가 고소해요!,3.11.화,1번째 방문
192,정릉동 SELF 장어세상,montblanc66,장어가 튼실하고 가격도 좋네요아주 맛있습니다!!,3.11.화,1번째 방문
193,정릉동 SELF 장어세상,예비맘59,,3.10.월,1번째 방문
194,정릉동 SELF 장어세상,heeheedelight,"매장에서만 먹다가 오늘은 포장주문을 했는데, 말씀하신 시간에 딱 맞춰서 받아올 수 있었어요, 5시반쯤 방문드렸는데 이미 매장안에 손님이 거의 다 차있더라고요! 역시 동네맛집 인증된 곳이라 그런지 남다릅니다!!포장건도 정성스럽게 구워서 주셔서 너무 좋아요!!",3.9.일,1번째 방문
195,정릉동 SELF 장어세상,heo****,장어 가성비 좋아요~ 자주 가족들이랑 옵니다!,3.9.일,1번째 방문
196,정릉동 SELF 장어세상,초코두나,장어탕 김치에 밥싸먹어야하는데 식후에 간거라 못먹어서 아쉽 바삭바삭 맛나요,3.8.토,1번째 방문
197,정릉동 SELF 장어세상,수리수리마수리얍,잘먹었습니다,3.7.금,2번째 방문
198,정릉동 SELF 장어세상,Gomse31,맛있어요,3.4.화,1번째 방문
199,정릉동 SELF 장어세상,준스코갱,가족들과 저녁먹으러왔어요~장어가 싱싱하고 구워주셔서 좋아요ㅎㅎ맛있어서 자주와요~:-),3.3.월,1번째 방문
200,정릉동 SELF 장어세상,joo****,장어가 신선하고 맛있어요. 반찬도 맛있고 직원들도 친절해요.,3.3.월,1번째 방문
201,정릉동 SELF 장어세상,욤72,장어 먹으러 항상 오는 곳! 아주 맛있어요. 기본 반찬에 장어탕도 나와요!! 밑반찬이 아주 많음! 직접 장어 구워주셔서 먹기도 편해요. 직원분도 엄청 열정적이고 친절하세요 매장도 짱 넓음,3.1.토,1번째 방문
202,정릉동 SELF 장어세상,kdk7941,잘먹었습니다,2.28.금,1번째 방문
203,정릉동 SELF 장어세상,5Tina,믿고 가는 장어맛집!,2.24.월,7번째 방문
204,정릉동 SELF 장어세상,feelpooh0609,너무맛있고 깔끔해요 추천합니다 정릉맛집,2.22.토,1번째 방문
205,정릉동 SELF 장어세상,sto****,맛있어요 장어가 신선한거 같아요~ 다음에 또 올거같아요,2.22.토,1번째 방문
206,정릉동 SELF 장어세상,1004jamma,맛있어요,2.22.토,7번째 방문
207,정릉동 SELF 장어세상,ix****,너무 맛있어요 주차도 매우 편해요,2.20.목,1번째 방문
208,정릉동 SELF 장어세상,피렌체63,장어 먹고싶을때 자주오는 맛집이예요~너무 맛있고 친절합니다~!!,2.19.수,1번째 방문
209,정릉동 SELF 장어세상,yan****,엄창 맛있다!👍👍👍,2.16.일,1번째 방문
210,정릉동 SELF 장어세상,사랑탱77,장어도 잘구워주시고친절해요아이들도 맛있게잘먹었어요,2.16.일,1번째 방문
211,정릉동 SELF 장어세상,jim****,자주 애용하는 맛집이에요. 장어가 땡길때면 항상 여기서 먹어요!!! 밑반찬 구성도 좋고 맛있습니다. 장어 뿐만 아니라 소갈비살도 엄청 맛나요!!! 추천합니다.,2.15.토,1번째 방문
212,정릉동 SELF 장어세상,아리보405,,2.15.토,1번째 방문
213,정릉동 SELF 장어세상,줄리앤폴,너무 맛있어요. 친절하시고 구워주시니 편하고 좋아요.,2.15.토,4번째 방문
