사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
GS25정릉하이츠점,영업/정상,편의점,,서울특별시 성북구 정릉동 435 중앙하이츠빌2단지 ,2016-05-13,,2024-04-28 02:40:00.0,Y
세븐일레븐 서경대본점,영업/정상,편의점,02  919 8947,서울특별시 성북구 정릉동 266-428번지 ,2016-05-31,,2018-08-31 23:59:59.0,Y
카페브릭스,영업/정상,커피숍,,서울특별시 성북구 정릉동 464-9번지 ,2016-06-08,,2018-08-31 23:59:59.0,Y
세븐일레븐 정릉e편한세상점,영업/정상,편의점,,서울특별시 성북구 정릉동 1035-6 정릉2차이편한세상 상가 101호 ,2016-09-05,,2024-02-18 02:40:00.0,Y
GS25 성북서경로점,영업/정상,편의점,,서울특별시 성북구 정릉동 175-25번지 ,2016-10-12,,2018-08-31 23:59:59.0,Y
요거프레소 국민대점,영업/정상,커피숍,,서울특별시 성북구 정릉동 669-6 ,2016-12-16,,2020-08-05 02:40:00.0,Y
펠리체,영업/정상,커피숍,02   9156336,서울특별시 성북구 정릉동 966-124 ,2017-02-17,,2022-06-16 02:40:00.0,Y
반올림피자샵 정릉돈암점,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 490번지 ,2017-04-18,,2018-08-31 23:59:59.0,Y
고종의뜰굼터/더듀얼로스터즈,영업/정상,커피숍,02  909 6653,서울특별시 성북구 정릉동 260-29번지 ,2017-04-21,,2018-08-31 23:59:59.0,Y
kinfolks coffee(킨폭스커피),영업/정상,커피숍,,서울특별시 성북구 정릉동 310-4 ,2017-05-31,,2024-06-02 02:40:00.0,Y
피자스쿨정릉점,영업/정상,패스트푸드,02  919 0066,서울특별시 성북구 정릉동 286-5번지 ,2017-06-27,,2018-08-31 23:59:59.0,Y
이마트위드미정릉국민대점,영업/정상,편의점,,서울특별시 성북구 정릉동 894-6번지 ,2017-08-24,,2018-08-31 23:59:59.0,Y
케이김밥(K-GIMBOB),영업/정상,일반조리판매,02  910 4952,서울특별시 성북구 정릉동 861-1 ,2017-10-20,,2024-06-19 02:40:00.0,Y
공차국민대점,영업/정상,커피숍,02  910 4952,서울특별시 성북구 정릉동 861-1 ,2017-10-20,,2024-06-19 02:40:00.0,Y
GS25정릉아리랑점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 522번지 ,2017-10-27,,2018-08-31 23:59:59.0,Y
써브웨이 국민대점,영업/정상,패스트푸드,02  910 4952,서울특별시 성북구 정릉동 861-1 국민대학교(3동2호관1층 북악관) ,2017-11-15,,2024-06-19 02:40:00.0,Y
문화공간북악하늘,영업/정상,커피숍,070 88068205,서울특별시 성북구 정릉동 508-97번지 ,2017-11-22,,2018-08-31 23:59:59.0,Y
카페(cafe)그리다,영업/정상,커피숍,,서울특별시 성북구 정릉동 691-5 ,2018-03-06,,2022-12-07 02:40:00.0,Y
쿱카페 국민대 성곡도서관점,영업/정상,커피숍,02  910 4952,서울특별시 성북구 정릉동 861-1 국민대학교 ,2018-04-03,,2024-08-17 02:40:00.0,Y
성북청소년문화의집,영업/정상,커피숍,02  919 9566,서울특별시 성북구 정릉동 1031-2번지 ,2018-04-11,,2020-04-24 02:40:00.0,Y
정릉동 350-1,영업/정상,커피숍,,서울특별시 성북구 정릉동 350-1번지 ,2018-05-28,,2020-01-30 02:40:00.0,Y
(CU)씨유정릉센터점,영업/정상,편의점,,서울특별시 성북구 정릉동 1020번지 우성쇼핑상가 ,2018-07-11,,2018-08-31 23:59:59.0,Y
라미카페,영업/정상,커피숍,,서울특별시 성북구 정릉동 654-34번지 ,2018-07-23,,2018-08-31 23:59:59.0,Y
씨유(CU),영업/정상,편의점,,서울특별시 성북구 정릉동 674-3번지 그린존 ,2018-07-25,,2018-08-31 23:59:59.0,Y
법학관 카페,영업/정상,커피숍,02  910 4952,서울특별시 성북구 정릉동 861-1 국민대학교 ,2018-08-13,,2024-06-19 02:40:00.0,Y
공학관 카페미르,영업/정상,커피숍,02  910 4952,서울특별시 성북구 정릉동 861-1 국민대학교 ,2018-08-13,,2024-06-19 02:40:00.0,Y
아이센스PC방,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 350-7번지 ,2018-09-21,,2018-09-21 23:59:59.0,Y
지에스25 정릉시장점,영업/정상,편의점,02  916 8000,서울특별시 성북구 정릉동 372-7 청수한의원 ,2018-11-26,,2023-10-14 02:40:00.0,Y
빨강고래,영업/정상,기타 휴게음식점,02  909 8089,서울특별시 성북구 정릉동 464-20 ,2019-01-02,,2024-10-24 02:40:00.0,Y
더마카롱,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 408-24번지 ,2019-01-03,,2019-01-05 02:20:51.0,Y
모던양갱집,영업/정상,커피숍,,서울특별시 성북구 정릉동 266-98번지 ,2019-01-16,,2019-01-18 02:20:52.0,Y
샐러디 국민대점,영업/정상,기타 휴게음식점,02  910 4952,서울특별시 성북구 정릉동 861-1 국민대학교 ,2019-02-20,,2024-06-19 02:40:00.0,Y
과학관커피점,영업/정상,커피숍,02910 4952,서울특별시 성북구 정릉동 861-1 국민대학교 과학관 1층 ,2019-02-20,,2024-06-19 02:40:00.0,Y
CU성북정릉천점,영업/정상,편의점,02  941 1239,서울특별시 성북구 정릉동 383-80번지 ,2019-02-26,,2019-02-28 02:21:34.0,Y
메가엠지씨커피(정릉시장점),영업/정상,기타 휴게음식점,02941 6860,서울특별시 성북구 정릉동 409-51 ,2019-02-28,,2023-01-27 02:40:00.0,Y
CU(씨유)국민대점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 891-1번지 ,2019-02-28,,2019-03-02 02:21:37.0,Y
씨유 북악스카이점,영업/정상,편의점,,서울특별시 성북구 정릉동 556-52 ,2019-03-18,,2024-03-29 02:40:00.0,Y
씨유 정릉타운점,영업/정상,편의점,02943 8333,서울특별시 성북구 정릉동 227-164 지하1층 ,2019-05-27,,2022-10-29 02:40:00.0,Y
유캔두잇정릉점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 464-21 1층 ,2019-05-28,,2022-02-16 02:40:00.0,Y
"정,카페",영업/정상,커피숍,,서울특별시 성북구 정릉동 192-255번지 ,2019-06-13,,2019-06-15 02:21:11.0,Y
보아스 셀프 PC,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 106-3번지 영신빌딩 ,2019-07-26,,2019-07-28 02:21:48.0,Y
피씨태그(PCTAG),영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 260-25 지상1층 ,2019-09-09,,2022-03-13 02:40:00.0,Y
샘케이크,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 16-200 ,2020-01-20,,2023-10-14 02:40:00.0,Y
CU 성북정릉점,영업/정상,편의점,,서울특별시 성북구 정릉동 670-46번지 ,2020-01-29,,2020-01-31 00:23:24.0,Y
더 하우스(THE HOUSE),영업/정상,커피숍,,서울특별시 성북구 정릉동 771-3번지 개동맨션 ,2020-02-11,,2020-02-13 00:23:39.0,Y
카페 나우어데이즈,영업/정상,커피숍,,서울특별시 성북구 정릉동 106-3번지 영신빌딩 103호,2020-02-17,,2020-02-19 00:23:23.0,Y
까페 사이시옷,영업/정상,커피숍,,서울특별시 성북구 정릉동 181-19번지 지하1층 ,2020-04-08,,2020-04-10 00:23:21.0,Y
GS25 정릉청춘점,영업/정상,편의점,,서울특별시 성북구 정릉동 402-128 ,2020-04-16,,2024-05-26 02:40:00.0,Y
ARK 에이알케이,영업/정상,커피숍,,서울특별시 성북구 정릉동 344-6 1층 101호 ,2020-05-29,,2020-09-11 02:40:00.0,Y
달콤한 게으름,영업/정상,커피숍,,서울특별시 성북구 정릉동 266-96 태극빌딩 ,2020-07-10,,2020-07-12 00:23:16.0,Y
기웃기웃,영업/정상,커피숍,,서울특별시 성북구 정릉동 107-23 1층 ,2020-07-27,,2023-04-23 02:40:00.0,Y
weeping willow (위핑윌로우),영업/정상,커피숍,,서울특별시 성북구 정릉동 684-39 1층 ,2020-08-19,,2025-03-01 02:40:00.0,Y
러쉬PC,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 227-72 2층 ,2020-09-23,,2020-09-25 00:23:12.0,Y
씨유 정릉역점,영업/정상,편의점,,서울특별시 성북구 정릉동 140-8 1층 ,2020-09-25,,2020-09-29 00:23:11.0,Y
리멤버투데이(Remember Today),영업/정상,커피숍,,서울특별시 성북구 정릉동 727-19 ,2020-10-15,,2020-10-17 00:23:10.0,Y
메가엠지씨커피 정릉아리랑점,영업/정상,커피숍,,서울특별시 성북구 정릉동 45-72 1층 ,2020-12-01,,2020-12-03 00:23:07.0,Y
꽈백 최선생(정릉점),영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 400-25 ,2020-12-03,,2023-03-25 00:41:26.0,Y
GS25 정릉중앙점,영업/정상,편의점,,서울특별시 성북구 정릉동 403-18 1층 ,2021-01-04,,2021-01-06 00:23:05.0,Y
7-ELEVEN 정릉중앙,영업/정상,편의점,02 9417003,서울특별시 성북구 정릉동 227-43 ,2021-02-19,,2021-02-21 00:23:01.0,Y
GS25 정릉금성점,영업/정상,편의점,,서울특별시 성북구 정릉동 266-377 1층 ,2021-02-25,,2021-02-27 00:23:00.0,Y
카페케이,영업/정상,커피숍,,서울특별시 성북구 정릉동 861-1 국민대학교 본관5동 1층 ,2021-02-25,,2024-06-19 02:40:00.0,Y
GS25 국민대점,영업/정상,편의점,02  942 7862,서울특별시 성북구 정릉동 654-34 1층 ,2021-03-02,,2021-03-04 00:23:00.0,Y
Cafe Pos(카페포스),영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 712-71 지하2층 ,2021-03-25,,2021-03-27 00:23:11.0,Y
써브웨이 정릉점,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 403-18 1층 ,2021-04-05,,2025-02-09 02:40:00.0,Y
GS25 (정릉본점),영업/정상,편의점,,서울특별시 성북구 정릉동 704-23 2층 ,2021-06-03,,2021-06-05 00:23:05.0,Y
카페솔샘771,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 292-6 ,2021-06-15,,2021-06-17 00:22:54.0,Y
목영동(M.Y.D),영업/정상,커피숍,,서울특별시 성북구 정릉동 14-21 ,2021-06-24,,2021-06-26 00:22:54.0,Y
새벽길빨간오뎅,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 394-18 1층 좌측 ,2021-07-30,,2021-08-01 00:22:52.0,Y
도도화,영업/정상,커피숍,,서울특별시 성북구 정릉동 506-38 ,2021-10-19,,2021-10-21 00:22:46.0,Y
메가엠지씨커피 정릉뉴타운점,영업/정상,커피숍,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 지하1층 상가동 제비122호,2021-10-25,,2021-10-27 00:22:46.0,Y
읍천리382(정릉점),영업/정상,패스트푸드,02  909 3820,서울특별시 성북구 정릉동 161-17 명성빌딩,2021-11-16,,2024-12-04 00:06:00.0,Y
솔샘로 58,영업/정상,커피숍,,서울특별시 성북구 정릉동 260-6 1층 ,2021-11-23,,2021-11-25 00:22:44.0,Y
추억82 정릉점,영업/정상,일반조리판매,02  943 2310,서울특별시 성북구 정릉동 372-15 ,2021-11-29,,2021-12-01 00:22:43.0,Y
이삭토스트 정릉시장점,영업/정상,기타 휴게음식점,02   9428069,서울특별시 성북구 정릉동 409-95 ,2022-01-06,,2024-11-08 02:40:00.0,Y
세븐일레븐 정릉온누리점,영업/정상,편의점,,서울특별시 성북구 정릉동 260-117 1층 ,2022-01-13,,2024-02-18 02:40:00.0,Y
롯데쇼핑(주)롯데슈퍼 정릉점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,2022-01-13,,2023-05-21 02:40:00.0,Y
카페 로마,영업/정상,커피숍,,서울특별시 성북구 정릉동 900-4 ,2022-01-13,,2022-01-15 00:22:41.0,Y
크로플애,영업/정상,커피숍,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,2022-02-03,,2022-06-16 02:40:00.0,Y
르아브르,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 266-415 ,2022-02-08,,2022-02-10 00:22:48.0,Y
준월드,영업/정상,편의점,,서울특별시 성북구 정릉동 780 산장아파트 ,2022-02-09,,2022-04-24 02:40:00.0,Y
쿠키 포레스트,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 396-15 ,2022-02-24,,2022-02-26 00:22:49.0,Y
지에스(GS)25 국민사랑점,영업/정상,편의점,,서울특별시 성북구 정릉동 852-11 ,2022-03-03,,2022-03-05 00:22:37.0,Y
지에스25 성북북한산점,영업/정상,편의점,,서울특별시 성북구 정릉동 819-11 1층 ,2022-03-23,,2022-03-25 00:22:35.0,Y
퀴진북악,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 861-1 국민대학교 ,2022-03-29,,2024-07-13 02:40:00.0,Y
메가엠지씨커피 정릉역점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 525-1 ,2022-03-31,,2024-11-07 02:40:00.0,Y
후명씨네 김밥,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 525-1 아이콘스타 ,2022-03-31,,2024-09-06 02:40:00.0,Y
세븐일레븐 정릉데시앙점,영업/정상,편의점,,서울특별시 성북구 정릉동 1018 길음뉴타운 데시앙 ,2022-05-24,,2024-02-18 02:40:00.0,Y
이마트24정릉508점,영업/정상,편의점,,서울특별시 성북구 정릉동 508-73 삼진주택 ,2022-05-27,,2022-05-29 00:22:32.0,Y
카페스윗 정릉점,영업/정상,커피숍,,서울특별시 성북구 정릉동 404-41 신한은행 1~2층 ,2022-07-26,,2024-01-05 02:40:00.0,Y
더벤티 정릉중앙점,영업/정상,커피숍,,서울특별시 성북구 정릉동 227-73 스마트빌 ,2022-08-12,,2022-08-14 00:22:28.0,Y
버본1967 정릉점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 291-8 ,2022-08-18,,2022-08-20 00:22:27.0,Y
케이밥플러스(K-BOB+),영업/정상,패스트푸드,,서울특별시 성북구 정릉동 861-1 국민대학교 ,2022-08-25,,2024-06-19 02:40:00.0,Y
마리골드(marigold),영업/정상,커피숍,,서울특별시 성북구 정릉동 16-249 ,2022-08-26,,2022-08-31 02:40:00.0,Y
텐퍼센트커피 정릉뉴타운점,영업/정상,커피숍,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,2022-10-04,,2022-10-06 00:22:25.0,Y
세븐일레븐 보국문역점,영업/정상,편의점,0232848112,서울특별시 성북구 정릉동 290-54 ,2022-10-05,,2024-02-18 02:40:00.0,Y
매직넷,영업/정상,기타 휴게음식점,02   9433119,서울특별시 성북구 정릉동 227-150 ,2022-10-31,,2022-11-02 00:22:24.0,Y
뚜띠 테이블,영업/정상,커피숍,,서울특별시 성북구 정릉동 409-40 ,2022-11-02,,2023-11-01 02:40:00.0,Y
컴포즈커피 북한산보국문점,영업/정상,커피숍,02  60127571,서울특별시 성북구 정릉동 289-33 ,2022-11-03,,2023-10-13 02:40:00.0,Y
브레드 큐브,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 409-19 1층 ,2022-12-01,,2022-12-03 00:39:57.0,Y
컴포즈커피 정릉입구점,영업/정상,커피숍,,서울특별시 성북구 정릉동 416-7 ,2022-12-12,,2022-12-14 00:40:48.0,Y
이와이미디어,영업/정상,커피숍,,서울특별시 성북구 정릉동 110-43 ,2023-01-02,,2023-01-04 00:40:24.0,Y
정이든김밥,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 407-10 ,2023-03-02,,2024-06-05 02:40:00.0,Y
꽈배기 스토리,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 394-18 1층 ,2023-03-02,,2024-05-12 02:40:00.0,Y
오디너리원,영업/정상,커피숍,,서울특별시 성북구 정릉동 14-9 ,2023-03-06,,2023-03-24 02:40:00.0,Y
김바라기,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 16-319 1층 ,2023-03-30,,2023-04-05 02:40:00.0,Y
먹모든(mukmoden),영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 506-45 ,2023-04-17,,2023-04-19 00:20:32.0,Y
먹고(Go) 또먹고(Go),영업/정상,일반조리판매,,서울특별시 성북구 정릉동 402-105 ,2023-04-21,,2023-04-23 00:20:19.0,Y
빵빠라빵빵,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 413-14 초원빌딩 ,2023-04-27,,2023-04-29 00:20:04.0,Y
정릉스낵,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 350-10 ,2023-05-22,,2023-05-24 00:20:33.0,Y
메가엠지씨커피 정릉중앙점,영업/정상,커피숍,,서울특별시 성북구 정릉동 716-3 아이콘스타 ,2023-05-25,,2024-05-18 02:40:00.0,Y
호두아이,영업/정상,커피숍,,서울특별시 성북구 정릉동 266-627 ,2023-06-19,,2023-06-21 00:19:39.0,Y
판다 탕후루 정릉점,영업/정상,아이스크림,,서울특별시 성북구 정릉동 395-4 ,2023-10-11,,2023-10-13 00:17:42.0,Y
밀리제빵소,영업/정상,기타 휴게음식점,02  63267942,서울특별시 성북구 정릉동 492-5 ,2023-10-20,,2023-10-22 00:17:34.0,Y
미미곱도리탕 본점,영업/정상,일반조리판매,02  64481162,서울특별시 성북구 정릉동 16-50 ,2023-11-23,,2023-11-25 00:17:04.0,Y
카이모,영업/정상,커피숍,,서울특별시 성북구 정릉동 266-313 ,2023-12-13,,2023-12-15 00:16:48.0,Y
노브랜드버거&수유리우동 서경대점,영업/정상,패스트푸드,,서울특별시 성북구 정릉동 산 16-1 서경대학교 ,2023-12-27,,2025-02-21 02:40:00.0,Y
씨유(CU)정릉솔샘점,영업/정상,편의점,,서울특별시 성북구 정릉동 685-13 ,2024-01-03,,2024-01-05 00:16:30.0,Y
투썸플레이스 정릉중앙점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 150-27 갤럭시 더 정릉 ,2024-02-01,,2024-02-03 00:16:05.0,Y
정지성 만두명장(정릉점),영업/정상,극장,,서울특별시 성북구 정릉동 409-95 ,2024-02-01,,2024-02-04 00:16:04.0,Y
리얼타코야끼 성북구점,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 164-30 ,2024-02-07,,2024-03-06 02:40:00.0,Y
GS25 이안테라디움 국민대점,영업/정상,편의점,,서울특별시 성북구 정릉동 1056 이안테라디움 성북 ,2024-02-08,,2024-02-11 00:16:19.0,Y
지에스25정릉풍림점,영업/정상,편의점,,서울특별시 성북구 정릉동 239 정릉풍림아이원 ,2024-02-16,,2024-02-18 00:16:12.0,Y
우리집 떡볶이,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 192-255 ,2024-02-29,,2024-03-03 00:15:49.0,Y
맥PC카페,영업/정상,일반조리판매,,서울특별시 성북구 정릉동 16-169 ,2024-03-12,,2024-11-23 02:40:00.0,Y
씨유 정릉풍림점,영업/정상,편의점,,서울특별시 성북구 정릉동 239 정릉풍림아이원 ,2024-03-27,,2024-03-29 00:15:29.0,Y
먹거리연구소,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 16-89 ,2024-04-29,,2024-05-01 00:15:26.0,Y
이슬로 한방카페,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 266-96 태극빌딩 ,2024-05-10,,2024-05-12 00:14:54.0,Y
HOLY DAY,영업/정상,커피숍,,서울특별시 성북구 정릉동 16-89 ,2024-05-10,,2024-05-12 00:14:54.0,Y
차담,영업/정상,커피숍,,서울특별시 성북구 정릉동 861-1 국민대학교 역사관 B동 201호,2024-05-14,,2024-05-16 00:14:48.0,Y
CU정릉꿈에그린점,영업/정상,편의점,,서울특별시 성북구 정릉동 1037 정릉꿈에그린 ,2024-06-03,,2024-06-05 00:14:21.0,Y
서울민속과자,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 393-2 지상1층 ,2024-06-11,,2024-06-13 00:14:14.0,Y
마닐마닐,영업/정상,기타 휴게음식점,,서울특별시 성북구 정릉동 175-19 ,2024-06-27,,2024-06-29 00:14:02.0,Y
버거운버거(국민대점),영업/정상,패스트푸드,,서울특별시 성북구 정릉동 861-1 국민대학교 ,2024-08-09,,2025-02-21 02:40:00.0,Y
매머드익스프레스 국민대후문점,영업/정상,커피숍,,서울특별시 성북구 정릉동 884-1 ,2024-09-02,,2024-09-04 00:13:26.0,Y
씨유 정릉위너스점,영업/정상,편의점,,서울특별시 성북구 정릉동 1028-1 정릉 이 편한세상 ,2024-09-10,,2024-09-12 00:13:22.0,Y
지에스(GS)25 정릉우성점,영업/정상,편의점,,서울특별시 성북구 정릉동 113-50 ,2024-10-31,,2024-11-02 00:12:14.0,Y
오름,영업/정상,기타 휴게음식점,070 81612186,서울특별시 성북구 정릉동 170-29 예닮빌딩 ,2024-11-15,,2024-11-17 00:12:01.0,Y
카페그랑 메디사이언스파크점,영업/정상,커피숍,,서울특별시 성북구 정릉동 660 ,2024-11-26,,2024-11-28 00:11:52.0,Y
(주)영우 국민대 예술관 카페나무,영업/정상,커피숍,02  901 5237,서울특별시 성북구 정릉동 861-1 국민대학교 ,2024-12-11,,2024-12-13 00:12:11.0,Y
씨유 정릉베스티점,영업/정상,편의점,,서울특별시 성북구 정릉동 508-9 현대로얄빌라 ,2025-02-13,,2025-02-15 00:10:47.0,Y
