사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
도서출판 아미타(Amita),영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉대우아파트 ***동 ****호,2008-01-08,,2018-08-31 23:59:59.0,Y
참스터디(chamstudy),영업/정상,,02-925-9900,서울특별시 성북구 정릉동 ***-**번지 ,2008-01-16,,2018-08-31 23:59:59.0,Y
수미산선,영업/정상,,941-4242,서울특별시 성북구 정릉동 ***-*번지 ,2008-04-17,,2018-08-31 23:59:59.0,Y
도서출판 도움성공연구소,영업/정상,,3292-1713,서울특별시 성북구 정릉동 ****번지 정릉대우아파트 ***동 ***호,2008-05-14,,2018-08-31 23:59:59.0,Y
이상미디어,영업/정상,,,"서울특별시 성북구 정릉동 ***-*번지 *,*층호",2008-09-29,,2018-08-31 23:59:59.0,Y
도서출판 삼토,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 *층호,2008-10-02,,2018-08-31 23:59:59.0,Y
가치경영,영업/정상,,356-2590,서울특별시 성북구 정릉동 ****번지 태영아파트 ***동 ****호,2009-05-06,,2018-08-31 23:59:59.0,Y
도서출판 현우,영업/정상,,943-0993,서울특별시 성북구 정릉동 ***-**번지 소산맨션*차 ***호,2009-10-21,,2018-08-31 23:59:59.0,Y
전하리문화사,영업/정상,,,서울특별시 성북구 정릉동 ***번지 외 *필지 중앙하이츠빌*단지 ***동 ***호,2010-04-15,,2018-08-31 23:59:59.0,Y
(주)한솔애드컴,영업/정상,,02-918-8070,서울특별시 성북구 정릉동 ***-**번지 ,2010-10-19,,2018-08-31 23:59:59.0,Y
팬타그램,영업/정상,,02-6437-6652,서울특별시 성북구 정릉동 ***번지 푸른마을 동아아파트 ***동 ***호,2010-11-04,,2018-08-31 23:59:59.0,Y
둥근세상,영업/정상,,02-942-8848,서울특별시 성북구 정릉동 ***-**번지 ,2010-11-26,,2018-08-31 23:59:59.0,Y
도서출판 넘버원,영업/정상,,,서울특별시 성북구 정릉동 ****번지 태영아파트 ***동 ***호,2011-03-18,,2018-08-31 23:59:59.0,Y
도서출판 포도나무,영업/정상,,,서울특별시 성북구 정릉동 중앙하이츠빌(아) ***동 ***호,2011-03-31,,2018-08-31 23:59:59.0,Y
아이러브마더,영업/정상,,,서울특별시 성북구 정릉동 ***번지 중앙하이츠빌아파트 ***동 ****호,2011-08-04,,2018-08-31 23:59:59.0,Y
큰날개,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 길음 **단지 롯데캐슬 골든힐스 ,2012-06-14,,2019-06-12 02:40:00.0,Y
도서출판 사비샘,영업/정상,,,서울특별시 성북구 정릉동 ***-*** ,2012-07-30,,2022-01-22 02:40:00.0,Y
다상,영업/정상,,02-365-1507,서울특별시 성북구 정릉동 ***-**번지 ,2006-02-09,,2018-08-31 23:59:59.0,Y
도서출판 한아람,영업/정상,,02-943-2413,서울특별시 성북구 정릉동 ***-**번지 ***호,2012-11-08,,2018-08-31 23:59:59.0,Y
이인시각,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2012-11-15,,2019-01-18 02:40:00.0,Y
큐리어스,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2007-05-07,,2018-08-31 23:59:59.0,Y
샤머니즘 박물관,영업/정상,,02-909-8808,서울특별시 성북구 정릉동 산 **-*번지 ,2013-05-22,,2018-08-31 23:59:59.0,Y
서현음악출판사,영업/정상,,02-914-0066,서울특별시 성북구 정릉동 ***번지 중앙하이츠아파트 ***동 ****호,2013-06-14,,2018-08-31 23:59:59.0,Y
철노,영업/정상,,,서울특별시 성북구 정릉동 ****번지 ***동 ***호,2013-07-08,,2018-08-31 23:59:59.0,Y
여행가이드,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2013-07-11,,2018-08-31 23:59:59.0,Y
북아카데미(Book Academy),영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ***동 *호,2013-08-08,,2018-08-31 23:59:59.0,Y
장젤트루다와 사계,영업/정상,,914-7535,서울특별시 성북구 정릉동 ****,2013-08-22,,2024-12-02 22:06:00.0,Y
도서출판 큰 돌,영업/정상,,02-931-4104,서울특별시 성북구 정릉동 ***-**번지 ,2013-10-18,,2018-08-31 23:59:59.0,Y
투데이북스,영업/정상,,070-7136-5700,서울특별시 성북구 정릉동 ***-*번지 정릉풍림아이원아파트 ***동 ***호,2011-03-17,,2018-08-31 23:59:59.0,Y
도서출판 다비다,영업/정상,,,서울특별시 성북구 정릉동 ***-** 산장빌라 ,2013-12-04,,2022-06-16 02:40:00.0,Y
도서출판 우리들의 이야기,영업/정상,,,서울특별시 성북구 정릉동 ***-***번지 ,2014-02-13,,2018-08-31 23:59:59.0,Y
다니엘하우스,영업/정상,,070-8851-7578,서울특별시 성북구 정릉동 ****번지 경남아파트 ***동 ****호,2014-03-06,,2018-08-31 23:59:59.0,Y
위대한탄생비트코인 출판사,영업/정상,,,서울특별시 성북구 정릉동 ***번지 정릉풍림아이원아파트 ***동 ****호,2014-04-01,,2018-08-31 23:59:59.0,Y
까사도페라,영업/정상,,,서울특별시 성북구 정릉동 ****번지 ,2011-04-12,,2018-08-31 23:59:59.0,Y
그루터기 출판사,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2014-07-06,,2018-12-01 02:40:00.0,Y
도서출판 쟁이,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2009-03-06,,2018-08-31 23:59:59.0,Y
도서출판 부표,영업/정상,,02-512-7626,서울특별시 성북구 정릉동 ***-**번지 유펙타워 ***호,2005-11-11,,2018-08-31 23:59:59.0,Y
(주)도시미래종합기술공사,영업/정상,,02-511-8372,서울특별시 성북구 정릉동 ***-**번지 유펙타워 ,2007-03-18,,2018-08-31 23:59:59.0,Y
도서출판 한성,영업/정상,,02-941-5111,서울특별시 성북구 정릉동 ****번지 우성아파트 ***동 ***호,2014-08-27,,2018-08-31 23:59:59.0,Y
종이도시락,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 우진빌라 ***호,2014-10-28,,2018-08-31 23:59:59.0,Y
초아 출판사,영업/정상,,,서울특별시 성북구 정릉동 **-***번지 ,2014-11-06,,2018-08-31 23:59:59.0,Y
화이트노트,영업/정상,,02-333-0160,서울특별시 성북구 정릉동 ***-*번지 ***호,2015-03-09,,2018-08-31 23:59:59.0,Y
별마을,영업/정상,,,서울특별시 성북구 정릉동 ***-***번지 현대빌라 가동 ***호,2015-04-15,,2018-08-31 23:59:59.0,Y
도서출판 지서연,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2015-04-21,,2020-04-10 02:40:00.0,Y
까사도페라,영업/정상,,02-766-5446,서울특별시 성북구 정릉동 ****번지 쌍용아파트 ***동 ***호,2011-04-12,,2018-08-31 23:59:59.0,Y
협동조합 성북신나,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2015-08-25,,2018-08-31 23:59:59.0,Y
책너머,영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉 꿈에그린아파트 ,2015-11-24,,2018-08-31 23:59:59.0,Y
씨앤씨 코오퍼레이션,영업/정상,,,서울특별시 성북구 정릉동 ***-***번지 ,2013-04-04,,2018-08-31 23:59:59.0,Y
호박이넝쿨책,영업/정상,,,서울특별시 성북구 정릉동 ***-** 정릉파크빌라 ,2017-01-19,,2024-05-16 02:40:00.0,Y
피어오름,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 삼익빌라 ,2018-01-02,,2018-08-31 23:59:59.0,Y
주식회사 다솜뷰티,영업/정상,,02-940-7892,서울특별시 성북구 정릉동 산 **-*번지 서경대학교 ,2018-01-09,,2018-08-31 23:59:59.0,Y
별꼬리,영업/정상,,,서울특별시 성북구 정릉동 ***번지 중앙하이츠빌*단지 ,2018-03-29,,2018-08-31 23:59:59.0,Y
재단법인 한국미래문화재단,영업/정상,,,서울특별시 성북구 정릉동 ***-***번지 ,2018-06-12,,2018-08-31 23:59:59.0,Y
다겸,영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉힐스테이트*차 ,2018-08-08,,2018-08-31 23:59:59.0,Y
(주)앙트랩,영업/정상,,02-6290-0065,서울특별시 성북구 정릉동 ****번지 정릉대우아파트 ,2018-08-09,,2019-09-26 02:40:00.0,Y
끄세쥬(Que sais-je?),영업/정상,,02-798-0516,서울특별시 성북구 정릉동 ***-***번지 ,2018-08-21,,2018-08-31 23:59:59.0,Y
도서출판 썸,영업/정상,,02-941-2019,서울특별시 성북구 정릉동 **** 정릉힐스테이트*차 ,2018-10-22,,2021-10-14 02:40:00.0,Y
열린출판,영업/정상,,,서울특별시 성북구 정릉동 ***번지 정릉풍림아이원아파트 ,2019-03-05,,2019-03-07 02:21:42.0,Y
엠에스케이,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 대창그린빌라 ,2019-03-19,,2019-03-21 02:21:57.0,Y
지안,영업/정상,,070-8881-0282,서울특별시 성북구 정릉동 ***-*번지 ,2019-03-25,,2019-03-29 02:40:00.0,Y
글과글사이,영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉힐스테이트*차 ,2016-03-15,,2019-03-29 02:20:08.0,Y
당신의 내음,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 서울하이츠빌라 ,2019-04-03,,2019-04-05 02:20:28.0,Y
Spotlight Education and Publishing,영업/정상,,,서울특별시 성북구 정릉동 ***-*번지 ,2019-03-26,,2019-05-26 02:20:55.0,Y
스튜디오 하토리,영업/정상,,,서울특별시 성북구 정릉동 ***-*** ,2019-06-11,,2020-07-04 02:40:00.0,Y
씨앗,영업/정상,,,서울특별시 성북구 정릉동 ***번지 정릉풍림아이원아파트 ,2019-07-11,,2019-07-13 02:21:44.0,Y
넥스터드 주식회사,영업/정상,,070-5124-6246,서울특별시 성북구 정릉동 ***-***번지 ,2019-07-26,,2019-07-28 02:21:48.0,Y
사각사각,영업/정상,,,서울특별시 성북구 정릉동 **-***번지 ,2019-08-05,,2019-08-07 02:21:55.0,Y
보리수하,영업/정상,,02-914-4069,서울특별시 성북구 정릉동 ***번지 보국사 ,2019-08-21,,2019-08-23 02:22:20.0,Y
도서출판 글섬,영업/정상,,02-943-5557,서울특별시 성북구 정릉동 ***번지 정릉중앙하이츠빌*단지아파트 ,2019-09-05,,2019-09-07 02:22:25.0,Y
도토이,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 신흥주택 ,2015-06-16,,2019-09-12 02:22:25.0,Y
순교자의 소리,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2008-12-11,,2019-09-26 02:22:38.0,Y
슈타치온(Station),영업/정상,,,서울특별시 성북구 정릉동 ***번지 정릉풍림아이원 ,2019-12-05,,2019-12-07 00:23:27.0,Y
도서출판 한순자,영업/정상,,02-3676-2366,서울특별시 성북구 정릉동 ***-**번지 ,2019-12-12,,2020-01-22 02:40:00.0,Y
비플러스,영업/정상,,,서울특별시 성북구 정릉동 ****번지 경남아파트 ,2020-01-16,,2020-01-18 00:23:24.0,Y
프루미,영업/정상,,,서울특별시 성북구 정릉동 ***-**번지 ,2020-02-07,,2020-02-09 00:23:23.0,Y
니니북스,영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉 힐스테이트*차 ,2020-02-19,,2020-02-21 00:23:23.0,Y
나비의활주로,영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉*차 대주피오레 ,2010-09-17,,2020-03-13 00:23:38.0,Y
스파인(SPINE),영업/정상,,,서울특별시 성북구 정릉동 ****번지 정릉우성아파트 ,2020-03-12,,2020-05-05 02:40:00.0,Y
내 친구의 서재,영업/정상,,070-8800-0215,서울특별시 성북구 정릉동 **** 경남아파트 ,2016-06-07,,2023-11-12 02:40:00.0,Y
Health Brain,영업/정상,,02-313-2001,서울특별시 성북구 정릉동 ***-* ,2020-06-08,,2020-09-11 02:40:00.0,Y
뮤스닝,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2020-07-23,,2020-07-25 00:23:15.0,Y
정글림,영업/정상,,,서울특별시 성북구 정릉동 *** 정릉풍림아이원 ,2020-08-18,,2020-10-25 02:40:00.0,Y
JK Book Press,영업/정상,,,서울특별시 성북구 정릉동 **** 경남아파트 ,2020-08-24,,2020-08-26 00:23:13.0,Y
디엔에이(DNA) 영어학원,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉*차 e-편한세상 ,2020-09-07,,2020-09-09 00:23:12.0,Y
개마서원,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,1989-08-17,,2020-10-15 00:23:10.0,Y
꿈공장 플러스 - 현재 파주에 이중등록으로 2025.2.28 폐업예정,영업/정상,,,서울특별시 성북구 정릉동 ***-*** ,2017-12-05,,2025-02-28 02:40:00.0,Y
주식회사 이앤엘컬쳐,영업/정상,,02-765-8349,서울특별시 성북구 정릉동 ***-** ,2020-11-17,,2020-11-19 00:23:08.0,Y
온고지신 북스,영업/정상,,,서울특별시 성북구 정릉동 ***-* 아이라움 ,2021-01-08,,2021-01-10 00:23:05.0,Y
(주)스코피,영업/정상,,,서울특별시 성북구 정릉동 *** ,2012-05-14,,2021-01-22 00:23:04.0,Y
코랄21(CHORAL21),영업/정상,,02-2233-8521,서울특별시 성북구 정릉동 ***-** ,2003-11-15,,2021-03-27 00:23:11.0,Y
생각의봄,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉스카이쌍용아파트 ,2021-03-25,,2021-03-27 00:23:11.0,Y
공북,영업/정상,,02-943-9946,서울특별시 성북구 정릉동 **** 정릉우성아파트 ,2021-03-29,,2021-03-31 00:22:59.0,Y
노란 오리,영업/정상,,,서울특별시 성북구 정릉동 ***-* 태림빌리지 ,2021-05-07,,2021-05-09 00:23:06.0,Y
도서출판 채비,영업/정상,,,서울특별시 성북구 정릉동 ***-*** ,2021-06-04,,2021-06-06 00:23:02.0,Y
우리문화연구소,영업/정상,,025873979,서울특별시 성북구 정릉동 *** 이화연립주택 ,2021-06-14,,2023-09-08 02:40:00.0,Y
헤엄출판사,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2018-12-03,,2021-06-17 00:22:54.0,Y
움직이는 책,영업/정상,,,서울특별시 성북구 정릉동 ***-*** 정성주택 ,2021-06-16,,2021-06-18 00:22:54.0,Y
덕수붓다,영업/정상,,,서울특별시 성북구 정릉동 ***-*** 현대하우스 ,2021-06-23,,2021-06-25 00:22:54.0,Y
양장본,영업/정상,,,서울특별시 성북구 정릉동 *** 중앙하이츠빌*단지 ,2021-06-30,,2021-07-02 00:23:01.0,Y
진리추구사,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉대우아파트 ,2021-07-12,,2021-07-14 00:22:52.0,Y
도서출판 밤산책,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉 우정에쉐르 ,2021-11-04,,2021-11-06 00:22:45.0,Y
도서출판 글마음,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉우성아파트 ,2021-11-16,,2021-11-18 00:22:44.0,Y
주식회사 액틴,영업/정상,,,서울특별시 성북구 정릉동 산 **-* 서경대학교 ****호,2021-12-14,,2021-12-16 00:22:43.0,Y
유진서가,영업/정상,,,서울특별시 성북구 정릉동 ***-* ***호,2021-12-14,,2021-12-16 00:22:43.0,Y
비투와이,영업/정상,,,서울특별시 성북구 정릉동 *** 정릉풍림아이원 ***동 ****호,2021-12-14,,2021-12-16 00:22:43.0,Y
이스트엔드,영업/정상,,,서울특별시 성북구 정릉동 **-*** ,2022-01-04,,2022-01-06 00:22:40.0,Y
도서출판 자주민보,영업/정상,,,서울특별시 성북구 정릉동 ***-* 정릉풍림아이원 ,2018-11-02,,2024-03-22 02:40:00.0,Y
한국미인,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2022-03-02,,2022-03-05 00:22:37.0,Y
B Triangle,영업/정상,,,서울특별시 성북구 정릉동 **** 길음뉴타운**단지 ,2014-02-18,,2022-05-04 00:22:32.0,Y
주식회사 예보크,영업/정상,,1599-8884,서울특별시 성북구 정릉동 ***-* ,2022-05-31,,2022-06-04 00:22:32.0,Y
노란코끼리 출판사,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉*차 대주피오레 ,2022-06-23,,2022-06-25 00:22:31.0,Y
블리스,영업/정상,,,서울특별시 성북구 정릉동 ***-** 대준빌라 ,2022-07-07,,2022-07-12 00:22:29.0,Y
웨이버링컴퍼니,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2022-07-27,,2024-01-18 02:40:00.0,Y
주식회사 에리드,영업/정상,,02-942-0880,서울특별시 성북구 정릉동 ***-** ,2022-07-28,,2022-07-30 00:22:29.0,Y
버터북스,영업/정상,,,서울특별시 성북구 정릉동 **** 길음뉴타운 경남아너스빌 ,2022-08-10,,2022-08-12 00:22:28.0,Y
에이치에이치코리아,영업/정상,,,서울특별시 성북구 정릉동 *** 정릉풍림아이원 ,2022-08-18,,2022-08-20 00:22:27.0,Y
요정의 숲,영업/정상,,,서울특별시 성북구 정릉동 ***-*** ,2022-08-24,,2022-08-26 00:22:27.0,Y
한불포럼,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉대우아파트 ,2022-09-26,,2022-09-28 00:22:26.0,Y
승구출판사,영업/정상,,,서울특별시 성북구 정릉동 ***-*** 스카이힐스테이 ,2022-10-17,,2022-10-19 00:22:24.0,Y
48시간 클럽,영업/정상,,,서울특별시 성북구 정릉동 ***-** 부광빌라 ,2022-11-14,,2022-11-16 00:22:24.0,Y
캐슬북스(CastleBooks),영업/정상,,02-512-5272,서울특별시 성북구 정릉동 **-*** 광음교회 ,2022-12-06,,2022-12-08 00:40:30.0,Y
삼토피아솔루션,영업/정상,,,서울특별시 성북구 정릉동 ***-* ,2011-01-25,,2023-04-08 02:40:00.0,Y
GIBS book(깁스 서점),영업/정상,,029137500,서울특별시 성북구 정릉동 ***-* 정릉빌딩 *층 ,2023-04-18,,2023-04-20 00:20:21.0,Y
에그헤드,영업/정상,,,서울특별시 성북구 정릉동 ***-* ,2023-05-01,,2023-05-03 00:20:01.0,Y
와이오,영업/정상,,,서울특별시 성북구 정릉동 ***-** *층 ,2023-05-12,,2023-05-14 00:19:51.0,Y
단미하우스,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2023-05-31,,2023-07-14 02:40:00.0,Y
덕수붓다,영업/정상,,,서울특별시 성북구 정릉동 ***-*** 현대하우스 ,2023-06-05,,2023-06-08 00:19:51.0,Y
도시호,영업/정상,,,서울특별시 성북구 정릉동 ***-* 정릉풍림아이원 ,2023-06-19,,2024-02-18 02:40:00.0,Y
청수책방,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2023-08-03,,2023-08-05 00:18:48.0,Y
라이프쉐어 주식회사,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2023-11-22,,2023-11-24 00:17:14.0,Y
오워크,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2021-12-15,,2024-02-04 00:16:04.0,Y
킷앤썰(kidanswer),영업/정상,,,서울특별시 성북구 정릉동 *** 푸른마을 동아아파트 ,2021-04-26,,2024-03-14 00:16:02.0,Y
이오 프레스,영업/정상,,,서울특별시 성북구 정릉동 ***-** ,2024-04-09,,2024-04-11 00:15:08.0,Y
에스에이씨(SAC),영업/정상,,,서울특별시 성북구 정릉동 **** 정릉힐스테이트 ,2024-05-21,,2024-05-23 00:14:32.0,Y
시네라처_CINERATURE,영업/정상,,,서울특별시 성북구 정릉동 ***-** 필로스빌 ,2024-07-11,,2024-07-13 00:13:55.0,Y
안도오 디자인스,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉*차 대주피오레 ,2024-08-29,,2024-08-31 00:13:08.0,Y
조이풀 가든(Joyfull Garden),영업/정상,,,서울특별시 성북구 정릉동 ***-* 반석스톤빌 ,2024-09-20,,2024-09-22 00:12:49.0,Y
마스터피스,영업/정상,,,서울특별시 성북구 정릉동 ***-** 그레이스빌 ,2024-10-24,,2024-10-26 00:12:20.0,Y
책은 읽어야겠고,영업/정상,,,서울특별시 성북구 정릉동 ***-*** ,2024-12-12,,2024-12-14 00:11:40.0,Y
해몽,영업/정상,,,서울특별시 성북구 정릉동 ***-** 탐라빌딩,2024-12-31,,2024-12-03 00:07:00.0,Y
푸시투엔터(PUSH TO ENTER),영업/정상,,,서울특별시 성북구 정릉동 *** ,2025-01-07,,2025-01-09 00:11:18.0,Y
아트리(Artree),영업/정상,,,서울특별시 성북구 정릉동 ***-* 우성빌라 ***호,2025-01-16,,2025-01-18 00:11:10.0,Y
진로진학 컨설팅MY UNI,영업/정상,,,서울특별시 성북구 정릉동 산 **-* 서경대학교 ,2025-02-14,,2025-02-16 00:11:28.0,Y
하나에듀,영업/정상,,,서울특별시 성북구 정릉동 ***-*** 삼성팰리스 ,2025-02-20,,2025-02-22 00:10:41.0,Y
마레책방,영업/정상,,,서울특별시 성북구 정릉동 **** 정릉 이-편한세상,2023-06-23,,2024-12-02 22:02:00.0,Y
그러나,영업/정상,,02-909-5517,서울특별시 성북구 정릉동 **** 정릉 이-편한세상,2016-09-02,,2024-12-02 23:09:00.0,Y
솔빛길,영업/정상,,909-5517,서울특별시 성북구 정릉동 **** 정릉 이-편한세상,2011-05-09,,2024-12-02 22:02:00.0,Y
